Model,Training data,Test data
XGBoost Regression,0.14,0.24
Extra Tree Regression,0.22,0.14
Support Vector Regression,-0.42,0.19
Bagging Regression,0.19,0.19
Random Forest Regression,0.2,0.19
AdaBoost Regression,0.14,0.28
